Name,Date,Localitdad,Site_name,Transect,Microhabitat,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
2023.ENMExpuesto2.T2Q10.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.ENMExpuesto2.T2Q11.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.ENMExpuesto2.T2Q1.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.ENMExpuesto2.T2Q2.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.ENMExpuesto2.T2Q3.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.ENMExpuesto2.T2Q4.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.ENMExpuesto2.T2Q5.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.ENMExpuesto2.T2Q6.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.ENMExpuesto2.T2Q7.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.ENMExpuesto2.T2Q8.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.ENMExpuesto2.T2Q9.JPG,,Veracruz,ENM-Expuesto2,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q10.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q11.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q1.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q2.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q3.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q4.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q5.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q6.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q7.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q8.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T1Q9.JPG,,Veracruz,BLNQ001,T1,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q10.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q11.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q1.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q2.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q3.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q4.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q5.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q6.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q7.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q8.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ001.T2Q9.JPG,,Veracruz,BLNQ001,T2,,,,,,,,,,,,,
2023.VER.BLNQ002.T1Q10.JPG,,Veracruz,BLNQ002,T1,,,,,,,,,,,,,
2023.VER.BLNQ002.T1Q11.JPG,,Veracruz,BLNQ002,T1,,,,,,,,,,,,,
